ventureid,type_of_venture,retranscriber,perspective_of_source,nationality,source,date_of_primary_source,name_of_the_ship,name_of_the_captain,name_of_investor,name_of_outfitter,number_of_voyages,internal_crossref,voyage_id_in_tstd,place_of_outfitting,place_of_purchase,place_of_disembarkation,date_of_departure_from_port_of_outfitting,date_trade_began_in_africa,date_of_departure_from_africa,date_vessel_arrived_with_enslaved,date_of_return_to_port_of_outfitting,number_of_enslaved_purchased,number_of_enslaved_sold,share_of_the_ship,complete_data_on_outlays,complete_data_on_returns,profits_reported_in_source,fatecol,various_remarks
NR050,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Union,,"Davenport, William",William Davenport,1,,91355,nan,Cameroons,nan,1768-08-15,nan,nan,nan,nan,nan,nan,0.25,yes,yes,0.0650773195876289,,
NR051,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Henry,,"Davenport, William",Alexander Nottingham,1,,91083,nan,Cameroons,nan,1769-03-21,nan,nan,nan,nan,nan,nan,0.125,with estimates,yes,-0.0086455331412103,,
NR052,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91409,nan,Cameroons,nan,1769-04-16,nan,nan,nan,nan,nan,nan,0.125,with estimates,yes,-0.0018181818181818,,
NR053,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,William,,"Davenport, William",William Davenport,1,,91585,nan,Cameroons,nan,1769-10-01,nan,nan,nan,nan,nan,nan,0.25,yes,yes,0.190893169877408,,
NR054,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Plumper,,"Davenport, William",John White,1,,91429,nan,Benin,nan,1769-10-15,nan,nan,nan,nan,nan,nan,0.125,yes,yes,-0.0122189638318671,,
NR055,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Kildare,,"Davenport, William",Alexander Nottingham,1,,90958,nan,Bonny,nan,1770-05-08,nan,nan,nan,nan,nan,nan,0.0625,yes,with estimates,-0.135446685878963,,
NR056,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,True Blue,,"Davenport, William",Christopher Hassell,1,,91643,nan,Benin,nan,1770-04-06,nan,nan,nan,nan,nan,nan,0.125,yes,yes,-0.205905826017558,,
NR057,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Union,,"Davenport, William",William Davenport,1,,91356,nan,Cameroons,nan,1770-05-16,nan,nan,nan,nan,nan,nan,0.25,yes,yes,0.316151202749141,,
NR058,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Plumper,,"Davenport, William",Thomas Foxcroft,1,,91430,nan,Bonny,nan,1771-07-17,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.0176348547717842,,
NR059,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Patty,,"Davenport, William",Edward Chaffers,1,,91694,nan,Windward Coast,nan,1771-09-17,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.13745704467354,,
NR060,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91410,nan,Cameroons,nan,1771-05-19,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.506717850287908,,
NR061,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Fox,,"Davenport, William",William Davenport,1,,91803,nan,Cameroons,nan,1771-09-17,nan,nan,nan,nan,nan,nan,0.125,with estimates,with estimates,0.189714285714286,,
NR062,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,May,,"Davenport, William",Robert Kennedy,1,,91864,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,-0.369230769230769,,
NR063,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91892,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.803921568627451,,
NR064,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Favourite,,"Davenport, William",Alexander Nottingham,1,,91976,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.448800505050505,,
NR065,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91893,nan,Cameroons River,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.760910815939279,,
NR066,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King George,,"Davenport, William",William Davenport,1,,92017,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.25,yes,yes,-0.608623548922056,,
NR067,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Sam,,"Davenport, William",Thomas Staniforth,1,,91936,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,with estimates,with estimates,-0.0647733631785114,,Includes estimates imputed by Nick Radburn
NR068,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Fox,,"Davenport, William",,1,,91805,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.333333,yes,yes,0.215223097112861,,
NR069,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Badger,,"Davenport, William",William Davenport,1,,91813,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.333333,yes,yes,0.058076225045372,,
NR070,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Favourite,,"Davenport, William",Alexander Nottingham,1,,91977,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,0.588374851720047,,
NR071,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Dreadnought,,"Davenport, William",Edward Chaffers,1,,91838,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.3125,yes,with estimates,0.342809364548495,,Includes estimates imputed by Nick Radburn
NR072,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91894,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,with estimates,0.393790849673203,,Includes estimates imputed by Nick Radburn
NR073,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Badger,,"Davenport, William",William Davenport,1,,91814,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.333333,yes,yes,0.186275570949237,,
NR074,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Sam,,"Davenport, William",Thomas Staniforth,1,,91937,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,with estimates,with estimates,-0.256682073954984,,Includes estimates imputed by Nick Radburn
NR075,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Favourite,,"Davenport, William",Alexander Nottingham,1,,91978,nan,Cameroons,nan,1775-04-20,nan,nan,nan,nan,nan,nan,0.125,yes,yes,-0.366879769024541,,
NR076,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91895,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.125,with estimates,with estimates,-0.0681139755766621,,Includes estimates imputed by Nick Radburn
NR077,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Dreadnought,,"Davenport, William",William Davenport,1,,91839,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.375,with estimates,yes,-0.138668740708653,,Includes estimates imputed by Nick Radburn
NR078,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Badger [New],,"Davenport, William",William Davenport,1,,92536,nan,Cameroons River,nan,nan,nan,nan,nan,nan,nan,nan,0.333333,yes,yes,-0.65,,
NR079,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Mars,,"Davenport, William",William Earle,1,,92461,nan,Sierra Leone,nan,nan,nan,nan,nan,nan,nan,nan,0.1,with estimates,with estimates,0.711755233494364,,Includes estimates imputed by Nick Radburn
NR080,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,nan,Hawke,,"Davenport, William",William Davenport,1,,92462,nan,Cameroons River,nan,nan,nan,nan,nan,nan,nan,nan,0.1,yes,yes,0.850026997840173,,
NR081,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Ann,,"Davenport, William",,1,,92465,nan,Windward Coast,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,with estimates,0.178424938474159,,
NR082,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Preston,,"Davenport, William",William Earle,1,,83174,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.2,yes,yes,0.128295619680299,,
NR083,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Mars,,"Davenport, William",William Earle,1,,82482,nan,Sierra Leone,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,with estimates,0.354390606912518,,Includes estimates imputed by Nick Radburn
NR084,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,nan,Hawke,,"Davenport, William",William Davenport,1,,81753,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,yes,1.72941653160454,,Insurance rates imputed from previous research on insurance rates
NR085,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Preston,,"Davenport, William",William Earle,1,,83175,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.2,yes,yes,0.363717445594006,,
NR086,Voyage,Klas Rönnbäck,Investor,English,Hyde et al 1953 plus Nick Radburn’s research on the Davenport papers,nan,Hawke,,"Davenport, William",William Davenport,1,,81754,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.2,yes,with estimates,-0.366755555555556,,Includes estimates imputed by Nick Radburn
NR087,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Rover,,"Davenport, William",Thomas Staniforth,1,,83413,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.166667,yes,yes,-0.122620005363368,,
NR088,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Quixote,,"Davenport, William",Thomas Parke,1,,83266,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,with estimates,0.545747048577511,,
NR089,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Preston,,"Davenport, William",Thomas Earle,1,,83176,nan,Cameroons,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,with estimates,-0.151450053705693,,Includes estimates imputed by Nick Radburn
NR090,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Quixote,,"Davenport, William",Thomas Parke,1,,83267,nan,Calabar,nan,nan,nan,nan,nan,nan,nan,nan,0.125,with estimates,yes,0.0651676277129032,,Includes estimates imputed by Nick Radburn
NR091,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,nan,Ann,,"Davenport, William",John Copeland,1,,80251,nan,Windward Coast,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,with estimates,-0.0519,,
NR093,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,nan,Ann,,"Davenport, William",Thomas Earle,1,,80253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25,with estimates,with estimates,0.47,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR094,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,nan,Bee,,"Davenport, William",,1,,80458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,with estimates,yes,0.13,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR095,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,nan,Bee,,"Davenport, William",Thomas Parke,1,,82324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1875,with estimates,with estimates,0.72,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
NR096,Voyage,Klas Rönnbäck,Investor,English,Original sources received from Nick Radburn,nan,Liverpool Hero,,"Davenport, William",Thomas Parke,1,,82325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.125,with estimates,with estimates,0.57,,Includes estimates imputed based on same assumptions as Nick Radburn’s study
DR102,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/13",nan,Fanny,,"Rogers, James",,1,,18139,nan,nan,nan,1792,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,
DR103,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1792/26",nan,Mermaid,,"Rogers, James",,1,,18152,nan,nan,nan,1792,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,
DR104,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/2",nan,Alexander,,,,1,,17196,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR105,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/3",nan,Amoretta,,,,1,,17197,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR106,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/4",nan,Antelope,,,,1,,17198,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR107,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/5",nan,Bonny,,,,1,,17199,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR108,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/7",nan,Culloden,,,,1,,17201,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR109,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/11",nan,Jamaica Pacquet,,,,1,,17205,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR110,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/12",nan,Jason,,,,1,,17206,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR111,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/14",nan,Levant,,,,1,,17208,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR112,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/19",nan,Phoenix,,,,1,,17213,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR113,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/23",nan,Southwell,,,,1,,17217,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR114,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/24",nan,Spy,,,,1,,17218,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR115,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/26",nan,Swift,,,,1,,17220,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR116,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/27",nan,Sybylla,,,,1,,17221,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR117,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/29",nan,Triton,,,,1,,17223,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR118,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/30",nan,Tryall,,,,1,,17224,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR119,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/32",nan,Williamsburgh,,,,1,,17226,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR120,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/1",nan,Africa,,,,1,,17227,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR121,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/2",nan,Ann,,,,1,,17228,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR122,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/3",nan,Baltimore,,,,1,,17229,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR123,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/4",nan,Chard,,,,1,,17230,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR124,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/5",nan,Charming Betty,,,,1,,17231,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR125,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/6",nan,Duke of Queensbury,,,,1,,17232,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR126,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/7",nan,Earl of Radnor,,,,1,,17233,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR127,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/8",nan,Emperor,,,,1,,17234,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR128,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/9",nan,Fly,,,,1,,17235,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR129,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/10",nan,Greyhound,,,,1,,17236,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR130,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/11",nan,Hawk,,,,1,,17237,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR131,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/12",nan,Hope,,,,1,,17238,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR132,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/13",nan,Hound,,,,1,,17239,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR133,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/14",nan,Indian Prince,,,,1,,17240,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR134,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/15",nan,John and Martha,,,,1,,17241,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR135,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/16",nan,Juno,,,,1,,17242,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR136,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/17",nan,King David,,,,1,,17243,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR137,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/19",nan,Matilda,,,,1,,17245,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR138,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/20",nan,Molly,,,,1,,17246,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR139,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/21",nan,Planter,,,,1,,17247,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR140,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/22",nan,Polly,,,,1,,17248,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR141,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/23",nan,Rainbow,,,,1,,17249,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR142,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/24",nan,Roebuck,,,,1,,17250,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR143,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/25",nan,Success,,,,1,,17251,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR144,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/26",nan,Susanna,,,,1,,17252,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR145,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/28",nan,Sylvia,,,,1,,17254,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR146,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1749/29",nan,Two Brothers,,,,1,,17255,nan,nan,nan,1749,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR147,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/5",nan,Cornwall,,,,1,,17260,nan,nan,nan,1750,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR148,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1780/4",nan,Tartar,,,,1,,17902,nan,nan,nan,1780,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR149,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/9",nan,Little Pearl,,,,1,,17924,nan,nan,nan,1783,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR150,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1785/10",nan,Little Pearl,,,,1,,17955,nan,nan,nan,1785,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR151,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1785/12",nan,Pearl,,,,1,,17957,nan,nan,nan,1785,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR152,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/4",nan,Alexander,,,,1,,17964,nan,nan,nan,1786,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR153,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/7",nan,Emelia,,,,1,,17967,nan,nan,nan,1786,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR154,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1786/9",nan,Fly,,,,1,,17969,nan,nan,nan,1786,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR155,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/13",nan,Fly,,,,1,,17993,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR156,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/19",nan,Lion,,,,1,,17999,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR157,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/25",nan,Royal Charlotte,,,,1,,18005,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR158,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/5",nan,Fly,,,,1,,18276,nan,nan,nan,1788,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR159,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/9",nan,Jupiter,,,,1,,18021,nan,nan,nan,1788,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR160,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/9",nan,Dragon,,,,1,,18067,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR161,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/12",nan,Fame,,,,1,,18069,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR162,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/21",nan,Pearl,,,,1,,18078,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR163,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/27",nan,Ruby,,,,1,,18084,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,no,no,,,
DR164,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/12",nan,Gibson,,,,1,,,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,with estimates,no,,4,Cannot find matching entry in TSTD
DR165,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/14",nan,James,,,,1,,,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,no,no,,4,Cannot find matching entry in TSTD
DR166,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/21",nan,Morning Star,,,,1,,,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,with estimates,no,,4,Cannot find matching entry in TSTD
DR167,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/28",nan,Recovery,,,,1,,18116,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,with estimates,no,,,
DR168,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/29",nan,Rodney,,,,1,,18117,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,no,yes,,,
